Date,Time,Event,Asset,Rate,Currency,Amount,Amount_Unit,AUD_Value,Fee_Amount,Fee_Unit,Fee_AUD,Balance,Balance_Unit
27/02/2022,10:59:59,REWARD,MATIC,,,0.08220728,MATIC,0.16708603,0.000,MATIC,0,250.30136992,MATIC
27/02/2022,10:59:59,REWARD,LUNC,,,0.00044683,LUNC,0.04673785,0.000,LUNC,0,2.0405664,LUNC
28/02/2022,10:59:59,REWARD,SOL,,,0.00040341,SOL,0.04779104,0.000,SOL,0,2.26725921,SOL
28/02/2022,10:59:59,REWARD,MATIC,,,0.08223429,MATIC,0.16738886,0.000,MATIC,0,250.38360421,
28/02/2022,10:59:59,REWARD,LUNC,,,0.00044693,LUNC,0.0460332,0.000,LUNC,0,2.04101333,LUNC
1/03/2022,10:59:59,REWARD,SOL,,,0.00040348,SOL,0.05411031,0.000,SOL,0,2.26766269,SOL
1/03/2022,10:59:59,REWARD,MATIC,,,0.08226131,MATIC,0.1833768,0.000,MATIC,0,250.46586552,MATIC
1/03/2022,10:59:59,REWARD,LUNC,,,0.00044703,LUNC,0.05498432,0.000,LUNC,0,2.04146036,LUNC
2/03/2022,10:59:59,REWARD,SOL,,,0.00040355,SOL,0.05520262,0.000,SOL,0,2.26806624,SOL
2/03/2022,10:59:59,REWARD,MATIC,,,0.08228834,MATIC,0.18121226,0.000,MATIC,0,250.54815386,MATIC
2/03/2022,10:59:59,REWARD,LUNC,,,0.00044712,LUNC,0.05683497,0.000,LUNC,0,2.04190748,LUNC
3/03/2022,10:59:59,REWARD,SOL,,,0.00040363,SOL,0.05484892,0.000,SOL,0,2.26846987,SOL
3/03/2022,10:59:59,REWARD,MATIC,,,0.08231537,MATIC,0.18568014,0.000,MATIC,0,250.63046923,MATIC
3/03/2022,10:59:59,REWARD,LUNC,,,0.00044722,LUNC,0.05686027,0.000,LUNC,0,2.0423547,LUNC
4/03/2022,10:59:59,REWARD,SOL,,,0.00040370,SOL,0.05044571,0.000,SOL,0,2.26887357,SOL
4/03/2022,10:59:59,REWARD,MATIC,,,0.08234241,MATIC,0.17165986,0.000,MATIC,0,250.71281164,MATIC
4/03/2022,10:59:59,REWARD,LUNC,,,0.00044732,LUNC,0.05460202,0.000,LUNC,0,2.04280202,LUNC
